baseline,seed,fold,auroc,auprc,f1,threshold
IsolationForest,42,1,0.7441483278461272,0.10492550396718356,0.17553956834532375,-0.036430828368823595
LSTMAE,42,1,0.7348085253855483,0.10817022168626769,0.15732217573221757,0.5280659252405167
CNNAE,42,1,0.7293294056489343,0.10655667617299672,0.15553677092138632,0.44590157479047776
TransformerAE,42,1,0.7069762606134118,0.11242935218623877,0.14162077104642015,0.33113314568996427
DeepSVDD,42,1,0.6379807081383931,0.08332607040133772,0.12631578947368421,0.003786473358049989
IsolationForest,42,2,0.7319840921290196,0.09434018169739047,0.1580135440180587,-0.021676228083601812
LSTMAE,42,2,0.738737617723125,0.08529333358409638,0.15197132616487455,0.4565791666507721
CNNAE,42,2,0.7390474796271898,0.08558965956908512,0.14623655913978495,0.5081571340560913
TransformerAE,42,2,0.6961816229932172,0.07626238769509354,0.12526539278131635,0.41915541887283325
DeepSVDD,42,2,0.7373883765188113,0.09865324133142206,0.15384615384615385,0.003570853313431144
IsolationForest,42,3,0.7439726036604628,0.1041220342530407,0.18131101813110181,-0.045786015443100264
LSTMAE,42,3,0.7227969001001486,0.09038031628618759,0.15193571950328708,0.4212110638618469
CNNAE,42,3,0.7219735312107218,0.0918234378537458,0.1452589105581708,0.31562280952930455
TransformerAE,42,3,0.7043131087048575,0.08774434223290202,0.1523809523809524,0.35101340711116796
DeepSVDD,42,3,0.7548041054181033,0.10993559493932294,0.17489421720733428,0.001835522034671158
IsolationForest,42,4,0.7982142130740756,0.1430822517650946,0.22964509394572025,-0.043658492701249954
LSTMAE,42,4,0.6817821258593337,0.08843625631858436,0.15949820788530467,0.4167769026756287
CNNAE,42,4,0.7088231704836676,0.0876970561869171,0.16870144284128746,0.4026856705546379
TransformerAE,42,4,0.7133435707602814,0.09041629616675574,0.16988416988416988,0.3290553450584412
DeepSVDD,42,4,0.713480860757434,0.11107316937232797,0.1670886075949367,0.0008712254377314833
IsolationForest,42,5,0.7479605263157896,0.11299693222695542,0.21765913757700206,-0.04188781573315785
LSTMAE,42,5,0.7310931174089068,0.09876816610989844,0.17313432835820897,0.5901470369100571
CNNAE,42,5,0.7335222672064778,0.10139963269975101,0.16691068814055637,0.4631448528170587
TransformerAE,42,5,0.7212348178137651,0.0979481336961518,0.11387900355871886,0.8524141120910644
DeepSVDD,42,5,0.7185323886639675,0.12266865160710508,0.17289719626168223,0.0018331311363726864
